dataset,method,model,calib_size,mean,q90,std,raw
ionosphere,JaB,PCA,100,0.3,0.444,0.099,"[0.42754000000000003, 0.49012, 0.34002, 0.51468, 0.28943, 0.29232, 0.305, 0.44205, 0.31537, 0.2825, 0.36626000000000003, 0.35436, 0.16, 0.36335, 0.2395, 0.44402, 0.40111, 0.19, 0.198, 0.44786, 0.37467, 0.47866000000000003, 0.30168, 0.21, 0.25032, 0.42575, 0.2065, 0.1825, 0.26, 0.27835, 0.39586, 0.43084, 0.26, 0.26431, 0.2, 0.24362, 0.24, 0.42337, 0.3036, 0.1, 0.255, 0.37586, 0.36102, 0.2575, 0.18, 0.31372, 0.41016, 0.3127, 0.13, 0.44682, 0.09179, 0.2, 0.46051000000000003, 0.197, 0.43420000000000003, 0.1925, 0.26, 0.38632, 0.19, 0.195, 0.18, 0.18, 0.19, 0.266, 0.2, 0.3175, 0.26283, 0.27, 0.27, 0.36586, 0.2665, 0.25351, 0.22, 0.24, 0.19, 0.49253, 0.265, 0.41602, 0.41569, 0.28418, 0.4376, 0.40538, 0.2625, 0.48415, 0.4467, 0.32618, 0.3635, 0.2575, 0.27085, 0.247, 0.27, 0.22, 0.46018, 0.1975, 0.24, 0.35584, 0.1875, 0.265, 0.19, 0.27]"
ionosphere,JaB,PCA,200,0.598,0.704,0.079,"[0.64854, 0.57002, 0.5142100000000001, 0.72, 0.72052, 0.62119, 0.55243, 0.45196000000000003, 0.56286, 0.62717, 0.51718, 0.57, 0.6013, 0.49519, 0.66503, 0.523, 0.57251, 0.56903, 0.68686, 0.62, 0.6738, 0.60017, 0.57668, 0.64336, 0.625, 0.51959, 0.48207, 0.51152, 0.52767, 0.72, 0.56785, 0.68753, 0.74, 0.60669, 0.63, 0.64503, 0.55646, 0.72, 0.57169, 0.43432, 0.62, 0.505, 0.66753, 0.62659, 0.63219, 0.64184, 0.4965, 0.42924, 0.56849, 0.54472, 0.44798, 0.65, 0.74503, 0.53468, 0.67352, 0.55718, 0.58585, 0.61395, 0.50733, 0.64, 0.5835, 0.6, 0.63269, 0.56201, 0.63, 0.62, 0.56768, 0.74, 0.76, 0.6582, 0.50586, 0.7, 0.54925, 0.5927, 0.59302, 0.637, 0.71, 0.66253, 0.3916, 0.58002, 0.57153, 0.69703, 0.54205, 0.48657, 0.62803, 0.40825, 0.64053, 0.70385, 0.5675, 0.64, 0.57221, 0.5995, 0.52418, 0.64201, 0.58101, 0.66, 0.52585, 0.68753, 0.64, 0.71]"
ionosphere,JaB,PCA,300,0.591,0.699,0.081,"[0.52138, 0.6252, 0.60837, 0.56502, 0.69885, 0.72, 0.4274, 0.72185, 0.64486, 0.57203, 0.44239, 0.66503, 0.45381, 0.63301, 0.6, 0.62, 0.56585, 0.6025, 0.52133, 0.63286, 0.64934, 0.625, 0.57449, 0.54168, 0.59267, 0.55158, 0.50819, 0.72, 0.54425, 0.52836, 0.68686, 0.55584, 0.59836, 0.7375, 0.59669, 0.64336, 0.56147, 0.72, 0.51481, 0.43933, 0.62219, 0.62, 0.67086, 0.64519, 0.4965, 0.54561, 0.4867, 0.57516, 0.3578, 0.57697, 0.46008, 0.65, 0.5672, 0.63353, 0.55395, 0.53052, 0.55733, 0.6535, 0.64, 0.62919, 0.55696, 0.6, 0.63, 0.63, 0.633, 0.7535, 0.65903, 0.60518, 0.76, 0.647, 0.5927, 0.50669, 0.66253, 0.7, 0.71, 0.6045200000000001, 0.52521, 0.55051, 0.43577, 0.58418, 0.63036, 0.55919, 0.40194, 0.5228700000000001, 0.59302, 0.618, 0.36913, 0.535, 0.59302, 0.64, 0.58184, 0.57054, 0.62287, 0.59783, 0.54418, 0.66, 0.5516800000000001, 0.67753, 0.71, 0.62]"
ionosphere,JaB,PCA,400,0.6,0.71,0.077,"[0.62854, 0.51315, 0.56502, 0.72053, 0.715, 0.59115, 0.47779, 0.5737, 0.66017, 0.65253, 0.40528000000000003, 0.49765, 0.66503, 0.5975, 0.60802, 0.5847, 0.523, 0.57251, 0.62, 0.63186, 0.62384, 0.60767, 0.64336, 0.7, 0.55574, 0.54187, 0.54474, 0.51152, 0.72, 0.52836, 0.55484, 0.66218, 0.6467, 0.64336, 0.7375, 0.59336, 0.5903, 0.72, 0.52619, 0.57933, 0.62, 0.6692, 0.4867, 0.65518, 0.61065, 0.56878, 0.61386, 0.57278, 0.4412, 0.50149, 0.55635, 0.4728, 0.65, 0.53052, 0.68, 0.61395, 0.6342, 0.50733, 0.7335, 0.64919, 0.72686, 0.63, 0.63, 0.60167, 0.62, 0.618, 0.69, 0.76, 0.59352, 0.65119, 0.56586, 0.63, 0.60353, 0.58603, 0.71, 0.64085, 0.54925, 0.55052, 0.43608, 0.59251, 0.55004, 0.62669, 0.51707, 0.70385, 0.41627000000000003, 0.59485, 0.39126, 0.55254, 0.6022, 0.74, 0.57304, 0.58184, 0.65601, 0.55167, 0.57087, 0.71, 0.57366, 0.69, 0.5293100000000001, 0.6375]"
ionosphere,JaB,PCA,500,0.593,0.698,0.08,"[0.62854, 0.5265, 0.57502, 0.72, 0.59037, 0.69786, 0.66217, 0.58203, 0.65253, 0.47346, 0.48967, 0.45267, 0.60503, 0.5975, 0.63302, 0.54392, 0.52133, 0.5847, 0.63286, 0.62, 0.59017, 0.62085, 0.7, 0.54908, 0.61968, 0.53124, 0.54172, 0.52835, 0.51152, 0.72, 0.55484, 0.68686, 0.72169, 0.6467, 0.64336, 0.44933, 0.50167, 0.56547, 0.72, 0.59002, 0.6692, 0.615, 0.68518, 0.63219, 0.48504, 0.52583, 0.417, 0.57278, 0.61119, 0.51829, 0.4688, 0.55385, 0.61585, 0.60585, 0.50733, 0.53552, 0.65, 0.7335, 0.62586, 0.66, 0.6, 0.55265, 0.6275, 0.76, 0.69, 0.58018, 0.6275, 0.71602, 0.6045200000000001, 0.6712, 0.55669, 0.58603, 0.71, 0.53425, 0.64586, 0.57202, 0.41549, 0.63, 0.61919, 0.56052, 0.53003, 0.64786, 0.59637, 0.40794, 0.4649, 0.59052, 0.55933, 0.74, 0.3903, 0.69053, 0.57304, 0.65368, 0.57352, 0.53669, 0.55849, 0.52335, 0.69, 0.5392, 0.62, 0.68]"
ionosphere,JaB,PCA,600,0.6,0.701,0.078,"[0.6242, 0.54429, 0.69686, 0.57585, 0.58866, 0.72, 0.58137, 0.65834, 0.65086, 0.47679, 0.56207, 0.4535, 0.63186, 0.63503, 0.52133, 0.61802, 0.58403, 0.6275, 0.63854, 0.51875, 0.62384, 0.59196, 0.64119, 0.5309, 0.7, 0.55109, 0.72, 0.5285, 0.55985, 0.53207, 0.6467, 0.6016900000000001, 0.68002, 0.64951, 0.72, 0.55818, 0.41865, 0.735, 0.64503, 0.46933, 0.625, 0.67184, 0.49753000000000003, 0.56413, 0.67086, 0.61319, 0.57178, 0.52519, 0.40823, 0.61386, 0.51067, 0.66, 0.53052, 0.61585, 0.55468, 0.6225, 0.55733, 0.7335, 0.63086, 0.66, 0.61517, 0.6, 0.59118, 0.71602, 0.6275, 0.69, 0.66918, 0.59352, 0.76, 0.65119, 0.55669, 0.60351, 0.57452, 0.63753, 0.71, 0.57051, 0.63, 0.41812, 0.55051, 0.60418, 0.54003, 0.4266, 0.68786, 0.59637, 0.49491, 0.63052, 0.6072, 0.57668, 0.39981, 0.74, 0.63804, 0.66268, 0.54933, 0.53765, 0.58184, 0.69, 0.5592, 0.52418, 0.71, 0.6375]"
ionosphere,JaB,PCA,700,0.593,0.69,0.076,"[0.6202, 0.56567, 0.59015, 0.65502, 0.58137, 0.47779, 0.72, 0.61753, 0.58585, 0.69352, 0.57605, 0.426, 0.62187, 0.63286, 0.61301, 0.523, 0.57403, 0.6275, 0.63503, 0.54242, 0.62384, 0.59768, 0.51387, 0.64336, 0.7, 0.54297, 0.55908, 0.72, 0.55985, 0.53168, 0.55484, 0.68919, 0.56747, 0.71768, 0.6467, 0.60835, 0.6467, 0.72, 0.36049000000000003, 0.45599, 0.60502, 0.63219, 0.53046, 0.49753000000000003, 0.57278, 0.6692, 0.67184, 0.57981, 0.40795, 0.50917, 0.66, 0.53212, 0.62, 0.53552, 0.7335, 0.55733, 0.55635, 0.6242, 0.66, 0.6242, 0.55517, 0.65602, 0.6, 0.625, 0.6275, 0.59135, 0.63118, 0.69, 0.63, 0.64136, 0.57669, 0.63, 0.60351, 0.64002, 0.58103, 0.71, 0.41436, 0.53325, 0.55051, 0.61419, 0.54003, 0.62703, 0.49057, 0.57835, 0.4266, 0.6322, 0.6462, 0.40048, 0.54934, 0.7225, 0.57554, 0.52418, 0.65268, 0.54933, 0.57352, 0.66, 0.52347, 0.5692, 0.71, 0.6525]"
ionosphere,JaB,PCA,800,0.6,0.71,0.079,"[0.6202, 0.56567, 0.72, 0.58264, 0.59137, 0.66002, 0.47779, 0.67786, 0.65253, 0.66167, 0.62445, 0.45747, 0.66503, 0.7155, 0.523, 0.64302, 0.57903, 0.6275, 0.54392, 0.63186, 0.62384, 0.581, 0.54297, 0.66, 0.72, 0.64119, 0.50887, 0.52836, 0.55985, 0.55074, 0.55918, 0.63547, 0.6467, 0.64336, 0.60835, 0.68836, 0.71768, 0.72, 0.46933, 0.41047, 0.63, 0.64184, 0.7242, 0.59432, 0.51753, 0.52162, 0.57178, 0.62886, 0.45056, 0.52686, 0.53052, 0.508, 0.55302, 0.6225, 0.63503, 0.68, 0.7135, 0.66, 0.55733, 0.6242, 0.61167, 0.6275, 0.65686, 0.62, 0.59635, 0.59618, 0.69, 0.76, 0.625, 0.65136, 0.60351, 0.57669, 0.71, 0.7, 0.58103, 0.64002, 0.40456000000000003, 0.5290900000000001, 0.54051, 0.61419, 0.54003, 0.64869, 0.57601, 0.45153, 0.39362, 0.6462, 0.40117, 0.6072, 0.7225, 0.53122, 0.58184, 0.59302, 0.54916, 0.65601, 0.52668, 0.69, 0.52347, 0.5692, 0.71, 0.6575]"
ionosphere,JaB,PCA,900,0.595,0.69,0.077,"[0.56567, 0.61837, 0.65002, 0.72503, 0.58264, 0.72, 0.47862, 0.61753, 0.5747, 0.66167, 0.62445, 0.45747, 0.67503, 0.65968, 0.61301, 0.57903, 0.54075, 0.523, 0.63186, 0.6275, 0.62384, 0.66, 0.59767, 0.62619, 0.55985, 0.53303, 0.52008, 0.55574, 0.64, 0.52835, 0.56484, 0.6467, 0.59185, 0.68836, 0.71835, 0.64336, 0.54747, 0.46933, 0.41169, 0.72, 0.625, 0.6692, 0.64184, 0.53753, 0.52079, 0.63219, 0.41906, 0.57278, 0.58481, 0.5095, 0.48508, 0.74, 0.55302, 0.6225, 0.53218, 0.62503, 0.53068, 0.68686, 0.66, 0.5917, 0.55167, 0.625, 0.6, 0.63185, 0.65102, 0.60135, 0.63, 0.63, 0.65636, 0.69, 0.57669, 0.7, 0.5852, 0.64503, 0.71, 0.58103, 0.52549, 0.59635, 0.61419, 0.39779000000000003, 0.54003, 0.64869, 0.49057, 0.38778, 0.38299, 0.57768, 0.60053, 0.5972, 0.7225, 0.5863700000000001, 0.59469, 0.57435, 0.64285, 0.54916, 0.52347, 0.5692, 0.52668, 0.69, 0.71, 0.6575]"
ionosphere,JaB,PCA,1000,0.597,0.71,0.079,"[0.6202, 0.57067, 0.57002, 0.5847, 0.72, 0.65253, 0.59015, 0.58168, 0.72053, 0.47862, 0.5882000000000001, 0.63968, 0.45767, 0.67503, 0.5757, 0.63301, 0.523, 0.63186, 0.54392, 0.6275, 0.58267, 0.62218, 0.50922, 0.55074, 0.67, 0.64119, 0.5422, 0.52434, 0.56152, 0.66, 0.55484, 0.6035200000000001, 0.63897, 0.69919, 0.72, 0.71835, 0.64836, 0.46099, 0.41083000000000003, 0.64336, 0.625, 0.72503, 0.60314, 0.62219, 0.64184, 0.53579, 0.4189, 0.51836, 0.57278, 0.50519, 0.46757, 0.6342, 0.6225, 0.74, 0.55302, 0.53052, 0.715, 0.66, 0.54374, 0.6092, 0.61096, 0.65102, 0.6, 0.6275, 0.60019, 0.64, 0.62185, 0.65636, 0.74, 0.63, 0.58003, 0.58603, 0.68333, 0.71, 0.65503, 0.58203, 0.52521, 0.61419, 0.39737, 0.54301, 0.54003, 0.44389, 0.62869, 0.59819, 0.39362, 0.4003, 0.62053, 0.61054, 0.59471, 0.7225, 0.68802, 0.57435, 0.63918, 0.55016, 0.56668, 0.71, 0.52335, 0.63252, 0.68, 0.57087]"
