dataset,method,model,mean,q90,std,raw
wine,SC,IForest,0.032,0.107,0.088,"[0.009000000000000001, 0.09583, 0, 0, 0, 0, 0.19801, 0, 0, 0, 0, 0.05928, 0.5075, 0, 0, 0.139, 0, 0, 0.02, 0, 0, 0, 0, 0, 0.26631, 0, 0, 0, 0.02714, 0, 0.055, 0, 0.106, 0.04571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0075, 0, 0, 0.02357, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.015, 0, 0, 0, 0.13033, 0, 0, 0.0075, 0.045, 0.11103, 0, 0, 0, 0, 0, 0.37332, 0, 0.28717, 0, 0.079, 0, 0.1765, 0, 0, 0, 0, 0.0075, 0, 0, 0, 0, 0, 0, 0, 0.41249, 0, 0.0075]"
wine,SC,LOF,0.044,0.144,0.123,"[0, 0, 0, 0.29283, 0, 0, 0, 0, 0.015, 0, 0, 0, 0.2145, 0, 0, 0.15478, 0, 0.20708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1055, 0, 0, 0, 0, 0, 0, 0.5019, 0, 0, 0, 0, 0, 0, 0, 0.62337, 0.15333, 0, 0.0375, 0, 0, 0.1435, 0, 0, 0.60246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0685, 0, 0, 0, 0, 0.31715, 0, 0.015, 0.0375, 0, 0, 0.045, 0, 0.00857, 0.01714, 0, 0, 0, 0.0075, 0, 0.55575, 0, 0.038, 0.03, 0.00857, 0, 0, 0, 0, 0.015, 0, 0, 0.143, 0.038]"
wine,SC,PCA,0.038,0.087,0.119,"[0, 0, 0.35382, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2275, 0, 0, 0.04089, 0.0425, 0, 0, 0, 0.051000000000000004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.06, 0.015, 0, 0, 0.09885, 0.0855, 0, 0, 0, 0, 0, 0, 0.0175, 0.073, 0.18133, 0, 0, 0.25283, 0, 0.0075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0375, 0, 0.03, 0, 0, 0, 0, 0, 0, 0, 0.01714, 0.19247, 0, 0, 0, 0.30022, 0, 0, 0, 0, 0.0225, 0, 0.0075, 0.77142, 0, 0, 0.015, 0.1635, 0, 0.0225, 0, 0, 0, 0, 0, 0, 0, 0.70808, 0]"
wine,J,IForest,0.047,0.136,0.114,"[0, 0, 0.29546, 0, 0, 0, 0, 0, 0, 0.015, 0, 0.09633, 0.0155, 0.0455, 0, 0, 0, 0, 0.08, 0, 0.41109, 0, 0, 0, 0, 0, 0, 0.03883, 0, 0, 0, 0, 0.01657, 0.008, 0.17578, 0, 0, 0, 0, 0, 0, 0, 0.026000000000000002, 0, 0.27835, 0, 0.12134, 0.1185, 0.016, 0, 0, 0.12, 0, 0, 0, 0, 0, 0.0405, 0, 0, 0, 0, 0.055, 0, 0, 0, 0, 0, 0.038, 0, 0.008, 0.10884, 0, 0, 0.016, 0, 0, 0.27336, 0.08983000000000001, 0.65385, 0.02, 0, 0, 0, 0, 0.22484, 0, 0, 0.2792, 0.17525, 0, 0, 0, 0.13157, 0, 0, 0, 0, 0.61615, 0.096]"
wine,J,LOF,0.153,0.415,0.164,"[0, 0.024, 0.27668, 0, 0.155, 0, 0.27109, 0.0175, 0, 0.42419, 0.52144, 0.18668, 0.14406, 0.145, 0, 0.35218, 0.42189, 0, 0, 0.2817, 0.28503, 0, 0, 0.17, 0.185, 0, 0.29735, 0.2767, 0.26769, 0.17, 0.115, 0, 0.22401000000000001, 0, 0.145, 0.2817, 0, 0, 0.4793, 0.008, 0.008, 0, 0.14, 0, 0, 0, 0.4219, 0.40976, 0.143, 0.27401, 0.35007, 0.2617, 0.41863, 0.016, 0, 0.68999, 0, 0, 0.016, 0, 0.28671, 0.24168, 0, 0, 0.17, 0.15, 0.29352, 0.14, 0, 0, 0, 0.32428, 0.27602, 0.34255, 0.1675, 0, 0, 0.16, 0.076, 0.11, 0.41439, 0.145, 0.165, 0.14, 0.12, 0.00875, 0.03, 0, 0.45606, 0.34985, 0.05035, 0.30338, 0, 0, 0, 0, 0.159, 0.54592, 0, 0.42349]"
wine,J,PCA,0.042,0.077,0.108,"[0.0495, 0, 0, 0, 0, 0, 0, 0, 0.02, 0, 0, 0, 0.065, 0, 0.02, 0, 0.024, 0, 0, 0, 0, 0, 0.21772, 0, 0.01, 0, 0, 0, 0.065, 0.05, 0.024, 0.0375, 0, 0, 0, 0.016, 0.04, 0, 0, 0, 0, 0.048330000000000005, 0.03, 0.0175, 0.025, 0, 0.29385, 0.5162100000000001, 0.36885, 0, 0, 0, 0, 0.0505, 0.016, 0, 0, 0.07466, 0, 0, 0.14584, 0.30585, 0.06834, 0, 0, 0, 0, 0.008, 0.015, 0, 0.03, 0, 0.04, 0, 0, 0, 0, 0.03, 0, 0.5651, 0.048, 0, 0.03, 0, 0, 0, 0, 0, 0.1635, 0, 0, 0, 0.0225, 0.025, 0, 0, 0.10001, 0, 0, 0.54496]"
wine,J+,IForest,0.04,0.141,0.081,"[0, 0, 0.016, 0, 0.03357, 0.11633, 0.073, 0, 0, 0.0075, 0, 0.008, 0.016, 0, 0, 0, 0.27835, 0.008, 0.015, 0, 0, 0, 0.30316, 0, 0.11, 0, 0, 0, 0.12, 0.0385, 0, 0.0075, 0, 0, 0, 0, 0, 0.01714, 0.016, 0, 0.043000000000000003, 0, 0, 0, 0.16084, 0, 0, 0.099, 0, 0, 0, 0, 0, 0.14835, 0, 0, 0.07050000000000001, 0, 0, 0, 0.14834, 0, 0.21918, 0, 0.0745, 0, 0, 0, 0, 0.032, 0.12917, 0, 0, 0, 0, 0, 0, 0.1, 0.015, 0.3615, 0.17668, 0.2575, 0, 0, 0, 0, 0, 0.14017, 0.08057, 0.11613, 0, 0, 0, 0, 0, 0, 0, 0, 0.39019, 0.032]"
wine,J+,LOF,0.153,0.415,0.164,"[0.155, 0.024, 0, 0.27668, 0, 0, 0.42419, 0, 0.27109, 0.0175, 0.18668, 0.52144, 0, 0.145, 0.42189, 0, 0, 0.14406, 0.2817, 0.35218, 0.28503, 0, 0, 0.17, 0.29735, 0.2767, 0, 0.185, 0.26769, 0.17, 0, 0.115, 0.22401000000000001, 0.2817, 0, 0.145, 0, 0, 0.008, 0.4793, 0.008, 0, 0.14, 0, 0, 0.4219, 0.40976, 0, 0.27401, 0.143, 0.35007, 0.41863, 0.2617, 0, 0.68999, 0, 0.016, 0, 0.016, 0, 0.28671, 0.17, 0, 0, 0.24168, 0.14, 0.29352, 0.15, 0, 0, 0, 0.27602, 0.32428, 0.1675, 0.34255, 0, 0, 0.16, 0.076, 0.11, 0.41439, 0.165, 0.145, 0.14, 0.12, 0, 0.00875, 0.03, 0.45606, 0.34985, 0.05035, 0, 0.30338, 0, 0, 0, 0, 0.159, 0.54592, 0.42349]"
wine,J+,PCA,0.041,0.069,0.107,"[0, 0, 0, 0, 0.0495, 0.02, 0, 0, 0, 0, 0, 0, 0.065, 0, 0.02, 0, 0, 0.024, 0, 0, 0.25648, 0, 0, 0.01, 0, 0, 0, 0, 0.065, 0.05, 0.0375, 0.024, 0, 0, 0, 0.016, 0.04, 0, 0, 0, 0, 0.048330000000000005, 0.03, 0.0175, 0, 0.025, 0.29585, 0.5162100000000001, 0, 0.36885, 0, 0, 0, 0.0505, 0.016, 0, 0, 0.07466, 0, 0, 0.0225, 0.30585, 0.06834, 0, 0, 0, 0, 0.008, 0.015, 0, 0.03, 0, 0, 0, 0, 0, 0, 0.03, 0.5326, 0, 0.063, 0.03, 0, 0, 0, 0, 0, 0, 0, 0.1635, 0, 0, 0.0225, 0.10001, 0.025, 0, 0, 0, 0.54639, 0]"
wine,CV,IForest,0.063,0.218,0.133,"[0, 0.42322, 0.12383, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.11167, 0.018000000000000002, 0, 0, 0, 0, 0, 0, 0, 0.45661, 0, 0, 0, 0.11, 0, 0.21084, 0.047, 0, 0, 0, 0, 0, 0, 0.1505, 0.016, 0.035, 0, 0.0925, 0, 0.031, 0, 0, 0.134, 0, 0.37236, 0, 0.32717, 0, 0, 0.14002, 0.15251, 0.01633, 0, 0, 0, 0, 0, 0.14, 0, 0.03917, 0.008, 0, 0, 0, 0, 0, 0, 0.37942, 0, 0.104, 0, 0, 0.15001, 0, 0, 0, 0.50404, 0.36726000000000003, 0.57645, 0.58911, 0.05, 0, 0, 0, 0, 0, 0.09099, 0, 0, 0, 0.00857, 0, 0, 0, 0, 0.28336, 0.04057]"
