dataset,method,model,mean,q90,std,raw
wine,SC,PCA,0.035,0.085,0.103,"[0, 0, 0.35465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1325, 0, 0, 0, 0.05203, 0.0425, 0, 0, 0, 0.215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.06, 0.015, 0, 0, 0.09885, 0, 0, 0.08, 0, 0, 0, 0, 0.0175, 0, 0.073, 0, 0.1615, 0.18133, 0, 0.0075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0375, 0.03, 0, 0, 0, 0, 0, 0, 0, 0, 0.05999, 0.084, 0, 0, 0, 0, 0.0075, 0.068, 0.77233, 0.29965, 0, 0, 0, 0, 0, 0, 0, 0, 0.1635, 0, 0, 0.0225, 0, 0, 0, 0, 0, 0.42295, 0]"
wine,J,PCA,0.045,0.111,0.11,"[0, 0.06622, 0, 0, 0, 0, 0.005, 0, 0, 0.02, 0, 0, 0, 0, 0.02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.33398, 0, 0, 0.05, 0.095, 0.01, 0.016, 0, 0.0375, 0, 0, 0.065, 0.016, 0, 0, 0, 0.03, 0.03, 0.0155, 0.026000000000000002, 0.30468, 0.025, 0.37085, 0.51488, 0, 0, 0, 0, 0.051000000000000004, 0.025, 0.07466, 0, 0, 0, 0, 0, 0.14584, 0, 0.33419, 0.06834, 0, 0, 0, 0.008, 0.015, 0, 0.07668, 0, 0, 0, 0, 0.10667, 0, 0, 0.03, 0.5651, 0.063, 0, 0.15667, 0, 0, 0, 0, 0.015, 0, 0.1685, 0.02, 0.015, 0.035, 0, 0, 0, 0.0225, 0.48209, 0, 0]"
wine,J+,PCA,0.044,0.111,0.108,"[0, 0, 0, 0.04932, 0.02, 0, 0.005, 0, 0, 0, 0, 0, 0, 0.02, 0, 0, 0, 0, 0, 0, 0, 0, 0.01, 0, 0, 0, 0, 0.33398, 0.065, 0.05, 0.0375, 0.016, 0, 0, 0.016, 0, 0, 0, 0.065, 0, 0.03, 0.026000000000000002, 0.29585, 0.0155, 0.025, 0.03, 0.51488, 0, 0.37085, 0, 0, 0.025, 0, 0.0505, 0, 0, 0.07466, 0, 0, 0, 0.14584, 0.06834, 0, 0.33419, 0, 0, 0, 0.008, 0.015, 0, 0.03, 0, 0, 0, 0.10667, 0, 0.03, 0, 0, 0.5326, 0.063, 0.15667, 0, 0, 0, 0, 0.015, 0, 0, 0.1685, 0.02, 0.015, 0, 0.0225, 0.035, 0, 0, 0.48209, 0, 0]"
wine,CV,PCA,0.048,0.147,0.11,"[0.025, 0, 0, 0, 0, 0, 0.049890000000000004, 0, 0, 0.01, 0, 0, 0, 0.02, 0, 0, 0, 0, 0, 0, 0, 0.39248, 0, 0, 0, 0, 0, 0, 0.105, 0, 0.03266, 0.0375, 0, 0, 0.0835, 0, 0, 0, 0.065, 0, 0.03, 0.03, 0.026000000000000002, 0.025, 0.0155, 0, 0.44423, 0.51888, 0.37085, 0, 0, 0.03, 0, 0.06767000000000001, 0, 0, 0, 0, 0.07466, 0, 0.14584, 0.07667, 0.30585, 0, 0, 0, 0, 0.015, 0.008, 0, 0.07668, 0, 0.27337, 0, 0, 0, 0, 0.13834, 0, 0.17750000000000002, 0.048, 0, 0.15667, 0, 0, 0.015, 0, 0, 0, 0.17082, 0.02, 0.015, 0.1275, 0, 0, 0.035, 0, 0, 0.56658, 0.015]"
wine,SC,PCA,0.035,0.085,0.103,"[0, 0, 0.35465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1325, 0, 0, 0.0425, 0.05203, 0, 0, 0, 0, 0.215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.06, 0.015, 0, 0, 0.09885, 0.08, 0, 0, 0, 0, 0, 0, 0.0175, 0, 0, 0.073, 0.18133, 0, 0.1615, 0.0075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0375, 0, 0.03, 0, 0, 0, 0, 0, 0, 0, 0.05999, 0.084, 0, 0, 0.068, 0, 0, 0.0075, 0.77233, 0.29965, 0, 0, 0, 0, 0, 0, 0, 0, 0.1635, 0, 0, 0, 0.0225, 0, 0, 0, 0, 0.42295, 0]"
wine,J,PCA,0.045,0.111,0.11,"[0, 0, 0.06622, 0, 0, 0, 0, 0.005, 0, 0.02, 0, 0, 0, 0, 0, 0.02, 0, 0, 0, 0, 0, 0.33398, 0, 0, 0.01, 0, 0, 0, 0.095, 0.05, 0.016, 0, 0.0375, 0, 0, 0.016, 0, 0, 0.065, 0, 0.03, 0.026000000000000002, 0.03, 0.0155, 0.025, 0.30468, 0, 0.37085, 0.51488, 0, 0, 0.025, 0, 0, 0.051000000000000004, 0, 0, 0, 0.07466, 0, 0.14584, 0.33419, 0.06834, 0, 0, 0, 0, 0.015, 0.008, 0, 0.07668, 0.10667, 0, 0, 0, 0, 0, 0.03, 0, 0.5651, 0.063, 0, 0, 0.15667, 0, 0.015, 0, 0, 0, 0.1685, 0.02, 0.015, 0.0225, 0, 0.035, 0, 0, 0, 0.48209, 0]"
wine,J+,PCA,0.044,0.111,0.108,"[0, 0, 0, 0.04932, 0, 0, 0, 0.005, 0.02, 0, 0, 0, 0, 0, 0, 0.02, 0, 0, 0, 0, 0, 0.33398, 0, 0, 0, 0.01, 0, 0, 0.065, 0.05, 0, 0.0375, 0, 0, 0.016, 0.016, 0, 0, 0, 0.065, 0.03, 0.0155, 0.026000000000000002, 0.03, 0.025, 0, 0.29585, 0.51488, 0, 0.37085, 0, 0.025, 0, 0.0505, 0, 0, 0.07466, 0, 0, 0, 0.14584, 0, 0.33419, 0.06834, 0, 0, 0, 0.008, 0.015, 0, 0.03, 0, 0.10667, 0, 0, 0, 0, 0.03, 0, 0.5326, 0.063, 0.15667, 0, 0, 0, 0.015, 0, 0, 0, 0.1685, 0.02, 0.015, 0.0225, 0, 0.035, 0, 0, 0.48209, 0, 0]"
wine,CV,PCA,0.048,0.147,0.11,"[0, 0.025, 0.049890000000000004, 0, 0, 0, 0.01, 0, 0, 0, 0, 0, 0, 0, 0.02, 0, 0, 0, 0, 0, 0, 0.39248, 0, 0, 0, 0, 0, 0, 0.105, 0, 0.03266, 0.0375, 0, 0, 0, 0, 0.0835, 0, 0.065, 0, 0.03, 0.026000000000000002, 0.03, 0.025, 0.0155, 0.44423, 0, 0.51888, 0.37085, 0, 0, 0.03, 0, 0.06767000000000001, 0, 0, 0, 0.07466, 0, 0, 0.14584, 0.30585, 0.07667, 0, 0, 0, 0.008, 0, 0.015, 0, 0.07668, 0, 0, 0.27337, 0, 0, 0, 0.13834, 0, 0.17750000000000002, 0.15667, 0.048, 0, 0, 0, 0.015, 0, 0, 0, 0.17082, 0, 0.015, 0.02, 0, 0.56658, 0.1275, 0.035, 0, 0, 0.015]"
wine,CV+,PCA,0.042,0.114,0.098,"[0.025, 0.03275, 0, 0, 0.005, 0, 0, 0.02, 0, 0, 0, 0, 0, 0, 0.02, 0, 0, 0, 0, 0, 0, 0, 0.32466, 0, 0, 0, 0, 0, 0, 0.105, 0.03266, 0.0225, 0, 0.0835, 0, 0, 0, 0, 0.055, 0, 0.03, 0.026000000000000002, 0.0155, 0.03, 0, 0.5222100000000001, 0.025, 0.30586, 0.37085, 0, 0, 0, 0.0505, 0, 0.03, 0.05033, 0, 0, 0, 0, 0.14584, 0.30585, 0.06917, 0, 0, 0, 0, 0.008, 0.015, 0, 0.07668, 0, 0.03, 0.27337, 0, 0, 0, 0, 0, 0.11033, 0.023, 0, 0.15667, 0, 0, 0, 0.015, 0, 0, 0.17082, 0.02, 0.0375, 0.015, 0, 0, 0.035, 0, 0, 0.47942, 0.015]"
wbc,SC,PCA,0.101,0.267,0.12,"[0, 0, 0.24492, 0.056, 0, 0.30107, 0.20413, 0, 0, 0.094, 0.07627, 0, 0.065, 0, 0.0725, 0.06721, 0.081, 0.06534, 0.017849999999999998, 0.09373, 0, 0.2464, 0.08211, 0.17500000000000002, 0, 0.25959, 0.28671, 0.1485, 0.0525, 0.005, 0.30218, 0, 0.38869, 0.02, 0.01142, 0, 0.26251, 0.5107, 0, 0, 0.134, 0.17371999999999999, 0.117, 0, 0.265, 0, 0.055, 0.0995, 0.18813, 0.03997, 0.09318, 0.1045, 0.025, 0, 0, 0.01142, 0, 0.181, 0.082, 0, 0.020999999999999998, 0.06906, 0.05593, 0.23062, 0.14913, 0.0465, 0, 0.1045, 0.11559, 0.02284, 0.19867, 0.0785, 0, 0.02463, 0.35953999999999997, 0, 0.25, 0.13942, 0.006999999999999999, 0.0365, 0.41465, 0.16802999999999998, 0, 0.01, 0, 0, 0.28478, 0.05, 0, 0.115, 0.00571, 0.045, 0.01713, 0.023209999999999998, 0.119, 0, 0.05142, 0.41101, 0.20375000000000001, 0.46297]"
