dataset,method,model,mean,q90,std,raw
wine,SC,IForest,0.007,0.025,0.019,"[0.001, 0.02417, 0, 0, 0, 0, 0.03199, 0, 0, 0, 0, 0.01072, 0.0925, 0, 0, 0.031, 0, 0, 0.0, 0, 0, 0, 0, 0, 0.07369, 0, 0, 0, 0.0028599999999999997, 0, 0.015, 0, 0.034, 0.0042899999999999995, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0025, 0, 0, 0.00643, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.005, 0, 0, 0, 0.039670000000000004, 0, 0, 0.0025, 0.015, 0.01897, 0, 0, 0, 0, 0, 0.08668000000000001, 0, 0.06283, 0, 0.021, 0, 0.0535, 0, 0, 0, 0, 0.0025, 0, 0, 0, 0, 0, 0, 0, 0.08751, 0, 0.0025]"
wine,SC,LOF,0.012,0.045,0.033,"[0, 0, 0, 0.08717, 0, 0, 0, 0, 0.005, 0, 0, 0, 0.0655, 0, 0, 0.045219999999999996, 0, 0.03292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0345, 0, 0, 0, 0, 0, 0, 0.1281, 0, 0, 0, 0, 0, 0, 0, 0.16663, 0.04667, 0, 0.0125, 0, 0, 0.0465, 0, 0, 0.14754, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.021500000000000002, 0, 0, 0, 0, 0.09285, 0, 0.005, 0.0125, 0, 0, 0.015, 0, 0.0014299999999999998, 0.0028599999999999997, 0, 0, 0, 0.0025, 0, 0.15425, 0, 0.012, 0.01, 0.0014299999999999998, 0, 0, 0, 0, 0.005, 0, 0, 0.047, 0.012]"
wine,SC,PCA,0.009,0.021,0.026,"[0, 0, 0.10618, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0625, 0, 0, 0.00911, 0.0075, 0, 0, 0, 0.009000000000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.02, 0.005, 0, 0, 0.02115, 0.0245, 0, 0, 0, 0, 0, 0, 0.0025, 0.017, 0.04867, 0, 0, 0.07717, 0, 0.0025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0125, 0, 0.01, 0, 0, 0, 0, 0, 0, 0, 0.0028599999999999997, 0.03753, 0, 0, 0, 0.07978, 0, 0, 0, 0, 0.0075, 0, 0.0025, 0.13858, 0, 0, 0.005, 0.0465, 0, 0.0075, 0, 0, 0, 0, 0, 0, 0, 0.15192, 0]"
wine,J,IForest,0.011,0.035,0.029,"[0, 0, 0.07454, 0, 0, 0, 0, 0, 0, 0.005, 0, 0.02367, 0.0045000000000000005, 0.0145, 0, 0, 0, 0, 0.0, 0, 0.06891, 0, 0, 0, 0, 0, 0, 0.01117, 0, 0, 0, 0, 0.00343, 0.002, 0.03422, 0, 0, 0, 0, 0, 0, 0, 0.004, 0, 0.09165, 0, 0.03866, 0.0115, 0.004, 0, 0, 0.0, 0, 0, 0, 0, 0, 0.0095, 0, 0, 0, 0, 0.025, 0, 0, 0, 0, 0, 0.012, 0, 0.002, 0.05116, 0, 0, 0.004, 0, 0, 0.07664, 0.02017, 0.15615, 0.02, 0, 0, 0, 0, 0.06516, 0, 0, 0.0608, 0.03475, 0, 0, 0, 0.02843, 0, 0, 0, 0, 0.16385, 0.024]"
wine,J,LOF,0.113,0.263,0.113,"[0, 0.006, 0.26332, 0, 0.155, 0, 0.21891, 0.0025, 0, 0.28581, 0.32856, 0.15332, 0.03594, 0.145, 0, 0.26782, 0.30811, 0, 0, 0.2483, 0.25497, 0, 0, 0.17, 0.185, 0, 0.26265, 0.2433, 0.23231, 0.17, 0.115, 0, 0.19599, 0, 0.145, 0.2483, 0, 0, 0.1707, 0.002, 0.002, 0, 0.14, 0, 0, 0, 0.2881, 0.23024, 0.137, 0.20599, 0.24993, 0.2283, 0.16137, 0.004, 0, 0.26001, 0, 0, 0.004, 0, 0.24329, 0.22832, 0, 0, 0.17, 0.15, 0.25648, 0.14, 0, 0, 0, 0.17572, 0.24398, 0.26745, 0.1625, 0, 0, 0.16, 0.024, 0.11, 0.17561, 0.145, 0.165, 0.14, 0.12, 0.00125, 0.01, 0, 0.33394, 0.18015, 0.009649999999999999, 0.25662, 0, 0, 0, 0, 0.051000000000000004, 0.33408, 0, 0.32651]"
wine,J,PCA,0.015,0.04,0.033,"[0.0105, 0, 0, 0, 0, 0, 0, 0, 0.02, 0, 0, 0, 0.035, 0, 0.02, 0, 0.006, 0, 0, 0, 0, 0, 0.05228, 0, 0.01, 0, 0, 0, 0.015, 0.01, 0.006, 0.0225, 0, 0, 0, 0.004, 0.04, 0, 0, 0, 0, 0.01167, 0.03, 0.0025, 0.025, 0, 0.13615, 0.20379, 0.13115, 0, 0, 0, 0, 0.0295, 0.004, 0, 0, 0.015340000000000001, 0, 0, 0.02416, 0.06415, 0.05166, 0, 0, 0, 0, 0.002, 0.015, 0, 0.03, 0, 0.04, 0, 0, 0, 0, 0.03, 0, 0.10490000000000001, 0.032, 0, 0.03, 0, 0, 0, 0, 0, 0.0465, 0, 0, 0, 0.0075, 0.025, 0, 0, 0.03999, 0, 0, 0.13504]"
wine,J+,IForest,0.01,0.035,0.025,"[0, 0, 0.004, 0, 0.00643, 0.03367, 0.017, 0, 0, 0.0025, 0, 0.002, 0.004, 0, 0, 0, 0.10165, 0.002, 0.005, 0, 0, 0, 0.08684, 0, 0.0, 0, 0, 0, 0.0, 0.0115, 0, 0.0025, 0, 0, 0, 0, 0, 0.0028599999999999997, 0.004, 0, 0.017, 0, 0, 0, 0.04916, 0, 0, 0.011000000000000001, 0, 0, 0, 0, 0, 0.06165, 0, 0, 0.0195, 0, 0, 0, 0.02166, 0, 0.08082, 0, 0.0155, 0, 0, 0, 0, 0.008, 0.06083, 0, 0, 0, 0, 0, 0, 0.0, 0.005, 0.1085, 0.06332, 0.0125, 0, 0, 0, 0, 0, 0.04983, 0.01943, 0.023870000000000002, 0, 0, 0, 0, 0, 0, 0, 0, 0.11981, 0.008]"
wine,J+,LOF,0.113,0.263,0.113,"[0.155, 0.006, 0, 0.26332, 0, 0, 0.28581, 0, 0.21891, 0.0025, 0.15332, 0.32856, 0, 0.145, 0.30811, 0, 0, 0.03594, 0.2483, 0.26782, 0.25497, 0, 0, 0.17, 0.26265, 0.2433, 0, 0.185, 0.23231, 0.17, 0, 0.115, 0.19599, 0.2483, 0, 0.145, 0, 0, 0.002, 0.1707, 0.002, 0, 0.14, 0, 0, 0.2881, 0.23024, 0, 0.20599, 0.137, 0.24993, 0.16137, 0.2283, 0, 0.26001, 0, 0.004, 0, 0.004, 0, 0.24329, 0.17, 0, 0, 0.22832, 0.14, 0.25648, 0.15, 0, 0, 0, 0.24398, 0.17572, 0.1625, 0.26745, 0, 0, 0.16, 0.024, 0.11, 0.17561, 0.165, 0.145, 0.14, 0.12, 0, 0.00125, 0.01, 0.33394, 0.18015, 0.009649999999999999, 0, 0.25662, 0, 0, 0, 0, 0.051000000000000004, 0.33408, 0.32651]"
wine,J+,PCA,0.015,0.04,0.033,"[0, 0, 0, 0, 0.0105, 0.02, 0, 0, 0, 0, 0, 0, 0.035, 0, 0.02, 0, 0, 0.006, 0, 0, 0.06352000000000001, 0, 0, 0.01, 0, 0, 0, 0, 0.015, 0.01, 0.0225, 0.006, 0, 0, 0, 0.004, 0.04, 0, 0, 0, 0, 0.01167, 0.03, 0.0025, 0, 0.025, 0.13415, 0.20379, 0, 0.13115, 0, 0, 0, 0.0295, 0.004, 0, 0, 0.015340000000000001, 0, 0, 0.0175, 0.06415, 0.05166, 0, 0, 0, 0, 0.002, 0.015, 0, 0.03, 0, 0, 0, 0, 0, 0, 0.03, 0.0974, 0, 0.037, 0.03, 0, 0, 0, 0, 0, 0, 0, 0.0465, 0, 0, 0.0075, 0.03999, 0.025, 0, 0, 0, 0.13361, 0]"
wine,CV,IForest,0.018,0.071,0.041,"[0, 0.06678, 0.03617, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03833, 0.002, 0, 0, 0, 0, 0, 0, 0, 0.05339, 0, 0, 0, 0.0, 0, 0.11916, 0.013000000000000001, 0, 0, 0, 0, 0, 0, 0.0495, 0.004, 0.035, 0, 0.0275, 0, 0.009000000000000001, 0, 0, 0.006, 0, 0.09764, 0, 0.13283, 0, 0, 0.07998, 0.05749, 0.00367, 0, 0, 0, 0, 0, 0.0, 0, 0.02083, 0.002, 0, 0, 0, 0, 0, 0, 0.16058, 0, 0.026, 0, 0, 0.06999, 0, 0, 0, 0.08596000000000001, 0.08274000000000001, 0.12355000000000001, 0.26089, 0.0, 0, 0, 0, 0, 0, 0.019010000000000003, 0, 0, 0, 0.0014299999999999998, 0, 0, 0, 0, 0.08664, 0.009430000000000001]"
